"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,Inicio,Fin,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"Coste por Application","All Leads","Coste por All Leads","event registration","Coste por event registration",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Coste por ThruPlay",Objetivo,"Inicio del informe","Fin del informe"
RMTEU_Germany_Global_Meta_Conversion_AISchool,"LAA - Banners","AISchool_Python - Copy",2024-12-31,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_Broad,Video_AllPlacements_Static,2024-12-31,2024-10-07,"En curso",38,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN_Data,"Prospecting - Data",AverageSalary_DA_EN_Lookalike_AllPlacements_Carousel,2024-12-31,2023-07-11,"En curso",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN,"All Interests - All Leads","BG - Copy 3",2024-12-31,2023-04-09,"En curso",430,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN,"Generic -17.9M",Ad1,2024-12-31,2022-05-01,"En curso","Con el presupuesto del conjunto de anuncios",,32,Diario,0,,,,,,,,,,0,0,,,,,,CONVERSIONS,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"All Interests - LLA - Image",BG_AllCourses_EN_LookalikeAudience_AllPlacements_StaticBanner_TransformYourCareer,2024-12-31,2023-08-28,"En curso",2500,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_EN_Qapps,"JobHunting - Financing + SYLLABUS","BG - Copy 2",2024-12-31,2023-03-30,"En curso",75,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_AISchool__Advantage+,"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Ad set","AISchool_AIProducts - Copy",2024-12-31,2024-04-29,2024-05-14,"Con el presupuesto del conjunto de anuncios",,353.23,"Toda la campaña",0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Videos",AISchool_UISkills,2024-12-31,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Retargeting - Banners",AISchool_UISkills,2024-12-31,2024-04-16,2024-05-05,1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_CloudComputing,Video_AllPlacements_Static_Juliette,2024-12-31,2024-06-06,2024-07-31,4657,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,09_Prospecting_LLA_DE,06_Image_DE,2024-12-31,2025-04-21,"En curso","Con el presupuesto del conjunto de anuncios",,75,Diario,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
RMTEU_Germany_Global_Meta_Prospecting_DV_EN_CBO,Prospecting_FBAudience_Interests_Sep24,Video_AllPlacements_Static,2024-12-31,2024-09-13,"En curso",100,Diario,"Con el presupuesto de la campaña",,0,,,,,,,,,,0,0,,,,,,OUTCOME_SALES,2024-12-31,2024-12-31
